study_id,intervention_type,name,description
319,Diagnostic Test,Blood samples,Not Specified
320,Biological,Infusion IV of Mesenchymal Stem cells,Not Specified
321,Biological,V-SARS,Not Specified
323,Diagnostic Test,Diagnostic test for SARS-Cov2 for patients and health staff,Not Specified
324,Biological,Adenovirus Type-5 Vectored COVID-19 Vaccine,Not Specified
325,Biological,Mesenchymal Stromal Cells infusion,Not Specified
326,Behavioral,Increasing Willingness and Uptake of COVID-19 Vaccination,Not Specified
327,Biological,Tozinameran,Not Specified
327,Biological,Oxford-AstraZeneca COVID-19 vaccine,Not Specified
327,Biological,CoronaVac,Not Specified
328,Biological,mRNA COVD19 vaccine,Not Specified
329,Biological,Adsorbed COVID-19 (inactivated) Vaccine,Not Specified
330,Drug,Cholecalciferol,Not Specified
331,Diagnostic Test,NETosis markers,Not Specified
333,Other,No intervention - quality of life measure,Not Specified
334,Diagnostic Test,COVID-19 RT-PCR,Not Specified
334,Diagnostic Test,Biosensor,Not Specified
335,Drug,Enoxaparin,Not Specified
337,Other,Antibody-Rich Plasma from COVID-19 recovered patients,Not Specified
338,Biological,CoronaVac,Not Specified
338,Biological,Placebo,Not Specified
339,Biological,Blood sample,Not Specified
339,Biological,Low or upper respiratory tract sample,Not Specified
339,Biological,Stool collection or fecal swab,Not Specified
339,Genetic,Blood sample for whole genome sequencing,Not Specified
339,Other,phone call,Not Specified
340,Diagnostic Test,Serology to determine SARS-CoV-2 infection,Not Specified
341,Drug,Measles-Mumps-Rubella Vaccine,Not Specified
341,Drug,Placebos,Not Specified
342,Biological,recombinant Ad5 vectored COVID-19 vaccine,Not Specified
342,Biological,RBD-based protein subunit vaccine (ZF2001) against COVID-19,Not Specified
342,Biological,trivalent split influenza vaccine,Not Specified
343,Diagnostic Test,Lung ultrasound,Not Specified
344,Procedure,blood sampling,Not Specified
345,Diagnostic Test,Thorax CT,Not Specified
346,Dietary Supplement,NRICM101,Not Specified
347,Behavioral,Kukaa Salama: mHealth intervention,Not Specified
347,Device,Face Mask + Soap,Not Specified
348,Diagnostic Test,Serological Assay for SARS-CoV-2,Not Specified
349,Drug,Hydroxychloroquine,Not Specified
349,Drug,Hydroxychloroquine (placebo),Not Specified
349,Drug,Zinc,Not Specified
349,Drug,Zinc (Placebo),Not Specified
351,Diagnostic Test,COVID-19 survey,Not Specified
352,Drug,Vitamin C,Not Specified
352,Drug,Vitamin E,Not Specified
352,Drug,Melatonin,Not Specified
352,Drug,N-acetyl cysteine,Not Specified
352,Drug,Pentoxifylline,Not Specified
353,Biological,COVID-19 convalescent hyperimmune plasma,Not Specified
353,Biological,Non-convalescent fresh frozen plasma (Standard plasma),Not Specified
354,Other,Observational only,Not Specified
355,Behavioral,COVID-19 self-test,Not Specified
355,Behavioral,COVID-19 test referral,Not Specified
356,Other,Questionnaire,Not Specified
357,Drug,Tramadol,Not Specified
357,Other,Standard care delivered in the isolation hospitals.,Not Specified
358,Biological,SARS-CoV-2 rS/Matrix M1-Adjuvant,Not Specified
358,Other,Placebo,Not Specified
358,Biological,Licensed seasonal influenza vaccine,Not Specified
359,Biological,SARS-CoV-2 VLP Vaccine,Not Specified
359,Biological,Placebo,Not Specified
360,Biological,COVID-19 convalescent plasma treatment,Not Specified
361,Drug,bamlanivimab,Not Specified
362,Other,"Nursing care to reduce anxiety, fear and loneliness",Not Specified
363,Other,blood sample,Not Specified
364,Diagnostic Test,SARS-CoV-2 IgG,Not Specified
367,Biological,Gam-COVID-Vac,Not Specified
368,Other,Blood donation from convalescent donor,Not Specified
370,Dietary Supplement,Ozonized oil (HOO,Not Specified
371,Biological,Gam-COVID-Vac,Not Specified
371,Other,placebo,Not Specified
372,Diagnostic Test,Antibodies testing,Not Specified
373,Other,olfactory and gustatory tests,Not Specified
374,Diagnostic Test,COVID-19 RT-PCR,Not Specified
374,Procedure,lung ultrasound,Not Specified
375,Other,Cryo lung biopsies,Not Specified
376,Device,Q-NRG Metobolic Cart Device,Not Specified
376,Device,MuscleSound Ultrasound,Not Specified
376,Device,Multifrequency Bioimpedance Spectroscopy,Not Specified
377,Biological,Gam-COVID-Vac,Not Specified
377,Biological,Placebo,Not Specified
378,Drug,Chloroquine,Not Specified
379,Other,Cohort,Not Specified
380,Drug,COVID-19 group (Group I),Not Specified
380,Drug,Type II Diabetes Mellitus and COVID-19 group (Group II),Not Specified
381,Drug,"IMP 1,000 plus SoC",Not Specified
381,Drug,"IMP 5,000 plus SoC",Not Specified
381,Drug,IMP RP2D plus SoC,Not Specified
381,Drug,SoC,Not Specified
382,Diagnostic Test,Serology test for COVID-19,Not Specified
383,Diagnostic Test,AAZ Covid-19 rapid test,Not Specified
384,Behavioral,Theory-based messages,Not Specified
384,Behavioral,General messages,Not Specified
385,Other,complication,Not Specified
386,Behavioral,Self-management booklet (SWitCh: Stay well during COVID-19),Not Specified
387,Drug,Hydroxychloroquine Sulfate 200 MG,Not Specified
387,Other,Placebo,Not Specified
388,Diagnostic Test,PT-PCR test for SARS-CoV-2,Not Specified
389,Other,Active COVID-19 disease,Not Specified
391,Biological,Anti SARS-CoV-2 equine hyperimmune serum,Not Specified
391,Biological,placebo,Not Specified
392,Diagnostic Test,Test for SARS-CoV-2,Not Specified
393,Dietary Supplement,Anatolian Propolis,Not Specified
395,Biological,SARS-CoV-2 rS/Matrix-M1 Adjuvant (Initial Vaccination Period),Not Specified
395,Other,Placebo (Initial Vaccination Period),Not Specified
