study_id,condition_name,mesh_term
328,SYSTEMIC LUPUS ERYTHEMATOSUS,Not Specified
328,SJOGREN'S SYNDROME,Not Specified
328,INFLAMMATORY MYOSITIS,Not Specified
328,PSORIATIC ARTHRITIS,Not Specified
328,GOUT,Not Specified
328,ANKYLOSING SPONDYLITIS,Not Specified
328,ARTHRITIS OF MULTIPLE SITES ASSOCIATED WITH INFLAMMATORY BOWEL DISEASE (DIAGNOSIS),Not Specified
328,OSTEOARTHRITIS,Not Specified
329,COVID-19,Not Specified
330,COVID-19,Not Specified
330,VITAMIN D,Not Specified
331,COVID-19,Not Specified
332,COVID-19,Not Specified
333,COVID-19,Not Specified
334,COVID-19,Not Specified
335,COVID-19,Not Specified
336,COVID-19,Not Specified
336,COVID-19,Not Specified
336,CARDIOVASCULAR DISEASES,Not Specified
336,CARDIOVASCULAR RISK FACTOR,Not Specified
337,COVID-19,Not Specified
338,COVID-19,Not Specified
339,COVID-19,Not Specified
339,COVID-19,Not Specified
340,COVID-19,Not Specified
341,COVID-19,Not Specified
342,COVID-19,Not Specified
343,COVID-19,Not Specified
344,COVID-19,Not Specified
344,SEVERE MENTAL DISORDER,Not Specified
345,COVID-19,Not Specified
346,COVID-19,Not Specified
346,COVID-19,Not Specified
347,"KNOWLEDGE, ATTITUDES, PRACTICE",Not Specified
347,COVID-19,Not Specified
348,IBD,Not Specified
348,COVID-19,Not Specified
349,COVID-19,Not Specified
349,COVID-19,Not Specified
350,CORONA VIRUS DISEASE 2019,Not Specified
351,VIRAL INFECTION,Not Specified
351,EXERCISE,Not Specified
351,COVID-19,Not Specified
351,HABITS,Not Specified
352,PNEUMONIA,Not Specified
352,COVID-19,Not Specified
352,ARDS,Not Specified
352,STRESS,Not Specified
353,COVID-19,Not Specified
354,LIVER TRANSPLANT; COMPLICATIONS,Not Specified
354,COVID-19,Not Specified
354,RESPIRATORY FAILURE,Not Specified
355,COVID-19,Not Specified
356,COVID-19,Not Specified
357,COVID-19,Not Specified
358,COVID-19,Not Specified
358,COVID-19,Not Specified
359,COVID-19,Not Specified
360,COVID-19,Not Specified
361,COVID-19,Not Specified
362,COVID-19,Not Specified
363,COVID-19,Not Specified
363,COVID-19,Not Specified
364,COVID-19,Not Specified
364,COVID-19,Not Specified
364,TRANSPLANTATION INFECTION,Not Specified
365,COVID-19,Not Specified
365,COVID-19,Not Specified
366,COVID-19,Not Specified
367,COVID-19,Not Specified
368,COVID-19,Not Specified
369,COVID-19,Not Specified
370,COVID-19,Not Specified
371,COVID-19,Not Specified
372,COVID-19,Not Specified
372,SEROPREVALENCE,Not Specified
372,COVID-19,Not Specified
373,COVID-19,Not Specified
374,COVID-19,Not Specified
374,LUNG ULTRASOUND,Not Specified
374,RESPIRATORY COMPLICATION,Not Specified
375,COVID-19,Not Specified
375,PULMONARY FIBROSIS,Not Specified
375,PNEUMONIA,Not Specified
375,THROMBOEMBOLISM,Not Specified
376,COVID-19,Not Specified
377,COVID-19,Not Specified
378,COVID-19,Not Specified
379,COVID-19,Not Specified
380,COVID-19,Not Specified
380,"DIABETES MELLITUS, TYPE 2",Not Specified
381,COVID-19,Not Specified
382,COVID-19,Not Specified
382,VIRUS-HIV,Not Specified
383,COVID-19,Not Specified
384,VACCINATION,Not Specified
384,COVID-19,Not Specified
385,COVID-19,Not Specified
386,COVID-19,Not Specified
387,COVID-19,Not Specified
388,COVID-19,Not Specified
